"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"items/uk_no_77_incendiary_grenade/desc";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"Зажигательная граната, поражающая живую силу и технику. При взрыве создает облако ядовитого газа, ограничивающего видимость";"Eine Brandgranate, die Schäden an Menschen und Fahrzeugen verursacht. Die Explosion erzeugt eine Wolke aus giftigem Gas, die die Sicht einschränkt";"Une grenade incendiaire infligeant des dégâts au personnel et aux véhicules. L'explosion produit un nuage de gaz toxique limitant la visibilité.";"Una granada incendiaria que causa daños al personal y a los vehículos. La explosión produce una nube de gas tóxico que limita la visibilidad";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"보병과 장비에 피해를 주는 소이 수류탄입니다. 이 수류탄은 적의 시야를 제한하는 유독성 가스를 내뿜습니다.";"一\t枚\t可\t用\t于\t反\t制\t步\t兵\t单\t位\t与\t载\t具\t的\t燃\t烧\t弹。\t起\t爆\t后\t产\t生\t的\t有\t毒\t烟\t雾\t能\t够\t遮\t蔽\t视\t线。";"对\t士\t兵\t和\t轻\t型\t载\t具\t造\t成\t损\t伤\t的\t燃\t烧\t手\t榴\t弹。\t爆\t炸\t时\t会\t产\t生\t大\t量\t的\t有\t毒\t气\t体\t阻\t挡\t视\t野";"Granat zapalający, który zadaje obrażenia żołnierzom i pojazdom. Eksplozja powoduje wydzielenie się toksycznego gazu, który ogranicza widoczność"
"items/srcm_mod_35_incendiary_grenade";"SRCM Mod. 35FI white phosphorous grenade";"Фосфорная граната SRCM Mod. 35FI";"SRCM Mod. 35FI Granate mit weißem Phosphor";"Grenade au phosphore blanc SRCM Mod. 35FI";"Granada de fósforo blanco SRCM Mod. 35FI";"SRCM Mod. 35FI white phosphorous grenade";"SRCM Mod. 35FI 백린수류탄";"SRCM 35 型\t白\t磷\t燃\t烧\t弹";"46GJ\t型 白\t磷\t手\t榴\t弹";"Granat SRCM Mod. 35FI z białym fosforem"
"items/srcm_mod_35_incendiary_grenade/desc";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"Зажигательная граната, поражающая живую силу и технику. При взрыве создает облако ядовитого газа, ограничивающего видимость";"Eine Brandgranate, die Schäden an Menschen und Fahrzeugen verursacht. Die Explosion erzeugt eine Wolke aus giftigem Gas, die die Sicht einschränkt";"Une grenade incendiaire infligeant des dégâts au personnel et aux véhicules. L'explosion produit un nuage de gaz toxique limitant la visibilité.";"Una granada incendiaria que causa daños al personal y a los vehículos. La explosión produce una nube de gas tóxico que limita la visibilidad";"An incendiary grenade that causes damage to manpower and vehicles. The explosion produces a cloud of toxic gas that limits visibility";"보병과 장비에 피해를 주는 소이 수류탄입니다. 이 수류탄은 적의 시야를 제한하는 유독성 가스를 내뿜습니다.";"一\t枚\t可\t用\t于\t反\t制\t步\t兵\t单\t位\t与\t载\t具\t的\t燃\t烧\t弹。\t起\t爆\t后\t产\t生\t的\t有\t毒\t烟\t雾\t能\t够\t遮\t蔽\t视\t线。";"对\t士\t兵\t和\t轻\t型\t载\t具\t造\t成\t损\t伤\t的\t燃\t烧\t手\t榴\t弹。\t爆\t炸\t时\t会\t产\t生\t大\t量\t的\t有\t毒\t气\t体\t阻\t挡\t视\t野";"Granat zapalający, który zadaje obrażenia żołnierzom i pojazdom. Eksplozja powoduje wydzielenie się toksycznego gazu, który ogranicza widoczność"
"items/srcm_mod_35fl";"SRCM Mod. 35FL smoke grenade";"Дымовая граната SRCM Mod. 35FL";"SRCM Mod. 35FL Rauchgranate";"Grenade fumigène SRCM Mod. 35FL";"Granada de humo SRCM Mod. 35FL";"SRCM Mod.35FL スモークグレネード";"SRCM Mod.35FL 연막탄";"SCRM 35 FL 式\t烟\t雾\t弹";"46GM 式\t烟\t雾\t手\t雷";"Granat dymny SRCM Mod. 35FL"
"items/handgranate_238_impact_grenade";"""Handgranate 328 (i)"" impact grenade";"Ударная граната ""Handgranate 328 (i)""";"Handgranate 328 (i) mit Aufschlagzünder";"Grenade à impact ""Handgranate 328 (i)""";"Granada de impacto ""Handgranate 328 (i)""";"「ハンドグレネード 328 (i)」\t衝撃\tグレネード";"한드그라나테 328(i)";"328 型\t手\t榴\t弹";"439\t（j）\t式\t触\t炸\t手\t雷";"Granat uderzenowy „Handgranate 328 (i)”"
"items/handgranate_238_impact_grenade/desc";"Anti-personnel grenade with impact fuze.";"Противопехотная граната с ударным механизмом.";"Anti-Personen-Granate mit Aufschlagzünder.";"Grenade antipersonnelle avec détonateur à impact.";"Granada antipersonal con espoleta de impacto.";"衝撃信管付き\t対人\tグレネード";"충격신관을 장착한 대인수류탄입니다.";"碰\t炸\t引\t信\t反\t人\t员\t手\t榴\t弹。";"反\t步\t兵\t触\t炸\t手\t雷。";"Granat przeciwpiechotny z zapalnikiem uderzeniowym."
"items/m24_smoke";"""Nebelhandgranate"" Smoke Grenade";"Дымовая граната ""Nebelhandgranate""";"Nebelhandgranate";"Grenade fumigène ""Nebelhandgranate""";"Granada de Humo ""Nebelhandgranate""";"「ネベルハンドグラナーテ」\t柄付発煙手榴弾";"""네벨한드그라나테"" 연막탄";"M24 烟\t雾\t手\t榴\t弹";"M24 烟\t雾\t弹";"Granat Dymny „Nebelhandgranate”"
"items/m24_smoke/short";"Smoke Grenade";"Дымовая граната";"Rauchgranate";"Grenade fumigène";"Granada de Humo";"スモークグレネード";"연막탄";"烟\t雾\t弹";"烟\t雾\t弹";"Granat Dymny"
"items/usa_mk2";"MK2 grenade";"Граната MK2";"MK2-Granate";"Grenade MK2";"Granada MK2";"MK2\tグレネード";"MK2 수류탄";"MK 2 手\t榴\t弹";"MK2 手\t榴\t弹";"MK2 granat"
"items/uk_mills_grenade";"Mills grenade";"Граната Mills";"Mills Granate";"Grenade Mills";"Granada Mills";"Mills grenade";"밀즈 수류탄";"米\t尔\t斯\t手\t榴\t弹";"麦\t式\t手\t榴\t弹";"Granat Millsa"
"items/usa_anm8_smoke";"AN-M8 smoke grenade";"Дымовая граната AN-M8";"Rauchgranate AN-M8";"Grenade fumigène AN-M8";"Granada de Humo AN-M8";"AN-M8\tスモークグレネード";"AN-M8 연막탄";"AN-M8 烟\t雾\t弹";"AN-M8 烟\t雾\t弹";"AN-M8 granat dymny"
"items/pzb_39";"PzB 39";"PzB 39";"PzB-39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"QaC50 反\t坦\t克\t步\t枪";"PzB 39"
"items/pzb_39_with_two_magazines";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"PzB 39";"QaC50";"PzB 39"
"items/pzb_39_magazine";"PzB 39 magazine";"Магазин PzB 39";"Magazin für PzB 39";"Chargeur de PzB 39";"Cargador de PzB 39";"PzB 39\tの\tマガジン";"PzB 39 탄창";"PzB 39 弹\t匣";"QaC50 弹\t匣";"Magazynek PzB 39"
"items/m1_bazooka";"M1 Bazooka";"M1 базука";"M1 Bazooka";"Bazooka M1";"Bazuca M1";"M1\tバズーカ";"M1 바주카";"M1\t“巴\t祖\t卡”";"N2\t巴 火\t箭\t筒";"M1 Bazooka"
"items/m6a1_bazooka";"M6A1 bazooka rocket";"M6A1 снаряд базуки";"M6A1-Bazookarakete";"Bazooka M6A1";"Cohete de bazuca M6A1";"M6A1\tバズーカロケット";"M6A1 바주카 로켓";"M6A1\t“巴\t祖\t卡” 火\t箭\t弹";"M6A1\t“巴\t祖\t卡” 火\t箭\t弹";"Rakieta M6A1"
"items/panzerschreck";"Panzerschreck";"Панцершрек";"RPzB. 54 Panzerschreck";"Panzerschreck";"Panzerschreck";"Panzerschreck";"판처슈렉";"“坦\t克\t杀\t手”";"坦\t克\t杀\t手";"Panzerschreck"
"items/rpzb_gr_4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"RPzB.Gr.4322";"Gr.4322 步\t兵\t反\t装\t甲\t火\t箭\t弹";"Hs.5433\t步\t兵\t反\t装\t甲\t火\t箭\t弹";"RPzB.Gr.4322"
"items/ptrs_41";"PTRS 41";"ПТРС 41";"PTRS-41";"PTRS 41";"PTRS 41";"PTRS 41";"PTRS 41";"PTRS-41";"QUST-52 反\t坦\t克\t步\t枪";"PTRS 41"
"items/ptrs_41_magazine";"PTRS 41 ammo";"Патроны ПТРС 41";"Munition für PTRS 41";"Munitions de PTRS 41";"Munición PTRS 41";"PTRS 41\tの\t弾薬";"PTRS 41 탄약";"PTRS-41 弹\t药";"QUST-52 弹\t药";"Magazynek PTRS 41"
"items/mauser_c96_m712";"Mauser C96 Mod.712";"Mauser C96 Mod.712";"Mauser C96 Mod.712";"Mauser C96 Mod.712";"Mauser C96 Mod.712";"モーゼル C96 Mod.712";"마우저 C96 Mod.712";"毛\t瑟 C96 712\t型";"毛\tD07 712\t型";"Mauser C96 Mod.712"
"items/mauser_c96_m712_magazine";"Mauser C96 Mod.712 magazine";"Магазин Mauser C96 Mod.712";"Magazin für Mauser C96 Mod. 712";"Chargeur de Mauser C96 Mod.712";"Cargador de Mauser C96 Mod.712";"モーゼル C96 Mod.712\tの\tマガジン";"마우저 C96 Mod.712 탄창";"毛\t瑟 C96 712\t型 弹\t匣";"毛\tD07 712\t型 弹\t匣";"Magazynek Mauser C96 Mod.712"
"items/erma_emp";"Erma EMP";"Erma EMP";"Erma EMP";"Erma EMP";"Erma EMP";"エルマ EMP";"에르마 EMP";"埃\t尔\t玛 EMP";"埃\tFNQ";"Erma EMP"
"items/erma_emp_magazine";"Erma EMP magazine";"Магазин Erma EMP";"Magazin für Erma EMP";"Chargeur d'Erma EMP";"Cargador de Erma EMP";"エルマ EMPの\tマガジン";"에르마 EMP 탄창";"埃\t尔\t玛 EMP 弹\t匣";"埃\tFNQ 弹\t匣";"Magazynek Erma EMP"
"items/erma_emp_36";"Erma EMP 36";"Erma EMP 36";"Erma EMP 36";"Erma EMP 36";"Erma EMP 36";"Erma EMP 36";"에르마 EMP 36";"埃\t尔\t玛 EMP 36";"埃\tFNQ 47 冲\t锋\t枪";"Erma EMP 36"
"items/winchester_model_1912";"Winchester Model 1912";"Winchester Model 1912";"Winchester Modell 1912";"Winchester Modèle 1912";"Winchester Modelo 1912";"ウィンチェスター\tM1912";"윈체스터 모델 1912";"温\t彻\t斯\t特 1912 型";"温\t2023\t型";"Winchester Model 1912"
"items/winchester_model_1912/short";"Winchester";"Winchester";"Winchester";"Winchester";"Winchester";"ウィンチェスター";"윈체스터";"温\t彻\t斯\t特";"温\t式\t霰\t弹\t枪";"Winchester"
"items/winchester_model_1912_magazine";"Model 12 magazine";"Магазин Model 12";"Magazin für Modell 12";"Chargeur de Modèle 12";"Cargador de Modelo 12";"M12\tの\tマガジン";"모델 12 탄창";"温\t彻\t斯\t特 1912 型 弹\t药";"温 12 号 弹\t药";"Magazynek Model 12"
"items/ithaca_37";"Ithaca 37";"Ithaca 37";"Ithaca M37";"Ithaca 37";"Ithaca 37";"イタカ\t37";"이타카 37";"伊\t萨\t卡 37";"伊\t萨\t卡 37 霰\t弹\t枪";"Ithaca 37"
"items/ithaca_37_magazine";"Ithaca 37 magazine";"Магазин Ithaca 37";"Ithaca-M37-Magazin";"Chargeur d'Ithaca 37";"Cargador de Ithaca 37";"イタカ\t37\tの\tマガジン";"이타카 37 탄창";"伊\t萨\t卡 37 弹\t药";"伊\t萨\t卡 37 弹\t药";"Magazyn Ithaca 37"
"items/dreyse_m1907";"Dreyse M1907";"Dreyse M1907";"Dreyse M1907";"Dreyse M1907";"Dreyse M1907";"ドライゼ\tM1907";"드라이제 M1907";"德\t雷\t赛 M1907";"德\t雷\t赛 M2907";"Dreyse M1907"
"items/dreyse_m1907_magazine";"Dreyse M1907 magazine";"Магазин Dreyse M1907";"Dreyse-M1907-Magazin";"Chargeur de Dreyse M1907";"Cargador de Dreyse M1907";"ドライゼ\tM1907\tの\tマガジン";"드라이제 M1907 탄창";"德\t雷\t赛 M1907 弹\t药";"德\t雷\t赛 M2907 弹\t药";"Magazynek Dreyse M1907"
"items/m1917_enfield";"M1917 Enfield";"M1917 Enfield";"M1917 Enfield";"M1917 Enfield";"Enfield M1917";"M1917\tエンフィールド";"M1917 엔필드";"春\t田\t-\t恩\t菲\t尔\t德 M1917";"春\tN2028";"M1917 Enfield"
"items/m1917_enfield_magazine";"M1917 Enfield AP magazine";"Магазин M1917 Enfield AP";"Magazin panzerbrechender Munition für M1917 Enfield";"Chargeur de M1917 Enfield perforant";"Cargador AP de Enfield M1917";"M1917\tエンフィールド\tAPの\tマガジン";"M1917 엔필드 AP 탄창";"春\t田\t-\t恩\t菲\t尔\t德 M1917 弹\t夹\t（穿\t甲\t弹）";"春\tN2028 弹\t夹";"Magazynek M1917 Enfield"
"items/m1941_johnson_magazine";"M1941 Johnson rifle magazine";"Магазин винтовки M1941 Johnson";"Johnson-M1941-Magazin";"Chargeur de fusil M1941 Johnson";"Cargador de Johnson M1941";"M1941\tジョンソンライフルの\tマガジン";"M1941 존슨 소총 탄창";"M1941\t“约\t翰\t逊” 弹\t夹";"约\t2052\t型 弹\t夹";"Magazynek karabinu Johnsona M1941"
"items/colt_new_service_m1909";"Colt New Service";"Colt New Service";"Colt New-Service-Revolver";"Colt New Service";"Colt New Service";"コルト・ニューサービス";"콜트 뉴 서비스";"柯\t尔\t特 M1909";"柯\tN2010";"Colt New Service"
"items/colt_new_service_m1909_magazine";"Colt New Service ammo";"Патроны Colt New Service";"Colt New-Service-Revolver-Munition";"Munition de Colt New Service";"Munición de Colt New Service";"コルト・ニューサービスの\t弾薬";"콜트 뉴 서비스 탄약";"柯\t尔\t特 M1909 弹\t药";"柯\tN2010 弹\t药";"Amunicja Colt New Service"
"items/f1";"F-1 grenade";"Граната Ф-1";"F-1-Handgranate";"Grenade F-1";"Granada F-1";"F-1\tグレネード";"F-1 수류탄";"F-1 手\t榴\t弹";"手\t榴\t弹";"F-1 granat"
"items/mp41";"MP 41";"MP 41";"MP 41";"MP 41";"MP 41";"MP 41";"MP 41";"MP 41";"NQ52 冲\t锋\t枪";"MP 41"
"items/mosin_dragoon";"Mosin M91 ""Dragoon""";"""Драгунская"" Мосинка";"Mosin-Nagant M91 'Dragoner'";"Mosin M91 ""Dragoon""";"Mosin M91 ""Dragón""";"Mosina M91 「ドラグーン」";"모신 M91 ""드라군""";"莫\t辛\t-\t纳\t甘 M91 龙\t骑\t兵\t型";"莫\t02\t型\t龙\t骑\t兵\t版";"Mosin M91 „Dragoon”"
"items/mosin_infantry";"Mosin M91 ""Infantry""";"""Пехотная"" Мосинка";"Mosin-Nagant M91 'Infanterie'";"Mosin M91 ""Infanterie""";"Mosin M91 ""Infantería""";"Mosina M91 「歩兵」";"보병용 모신 M91";"莫\t辛\t-\t纳\t甘 M91 步\t兵\t型";"莫\t02\t型\t步\t兵\t版";"Mosin M91 „Piechota”"
"items/molotov";"Molotov";"Коктейль Молотова";"Molotow";"Molotov";"Molotov";"モロトフ";"화염병";"燃\t烧\t瓶";"燃\t烧\t瓶";"Mołotow"
"items/molotov/short";"Molotov";"Молотов";"Molotow";"Molotov";"Molotov";"モロトフ";"화염병";"燃\t烧\t瓶";"莫\t洛\t托\t夫";"Mołotow"
"items/ptrd_41";"PTRD-41";"ПТРД-41";"PTRD-41";"PTRD-41";"PTRD-41";"PTRD-41";"PTRD-41";"PTRD-41";"QUSE-52";"PTRD-41"
"items/ptrd_41_magazine";"PTRD 41 ammo";"Патроны ПТРД 41";"Munition für PTRD 41";"Munitions de PTRD-41";"Munición de PTRD 41";"PTRD 41\tの\t弾薬";"PTRD 41 탄약";"PTRD-41 弹\t药";"QUSE52 弹\t药";"Pociski PTRD 41"
"items/mp_38";"MP 38";"MP 38";"MP 38";"MP 38";"MP 38";"MP 38";"MP 38";"MP 38";"NQ49";"MP 38"
"items/pps_42";"PPS-42";"ППС-42";"PPS-42";"PPS-42";"PPS-42";"PPS-42";"PPS-42";"PPS-42";"QQT53 冲\t锋\t枪";"PPS-42"
"items/pps_42_red";"PPS-42 (Red)";"ППС-42 (Красный)";"PPS-42 (Rot)";"PPS-42 (Rouge)";"PPS-42 (Roja)";"PPS-42 (Red)";"붉은 PPS-42";"PPS-42 氧\t化\t红";"QQT-53\t（氧\t化\t涂\t层）";"PPS-42 (Czerwony)"
"items/pps_magazine";"PPS 42/43 magazine";"Магазин ППС 42/43";"Magazin für PPS-42";"Chargeur de PPS 42";"Cargador de PPS 42/43";"PPS 42\tの\tマガジン";"PPS 42 탄창";"PPS-42/43 弹\t匣";"QQS-52 弹\t匣";"Magazynek PPS 42"
"items/nagant_m1895";"Nagant 1895";"Наган обр. 1895";"Nagant 1895";"Nagant 1895";"Nagant 1895";"ナガン 1895";"나강 1895";"纳\t甘 1895";"纳\t2906";"Nagant 1895"
"items/nagant_m1895_magazine";"Nagant 1895 bullets";"Патроны Наган обр. 1895";"Patronen für Nagant 1895";"Balles de Nagant 1895";"Balas de Nagant 1895";"ナガン 1895\tの\t弾丸";"나강 1895탄";"纳\t甘 1895 弹\t药";"纳\t2906 弹\t药";"Pociski do Nagant 1895"
"items/pps_43";"PPS-43";"ППС-43";"PPS-43";"PPS-43";"PPS-43";"PPS-43";"PPS-43";"PPS-43";"QQT54 冲\t锋\t枪";"PPS-43"
"items/rd_44_magazine";"RD-44 T magazine";"Магазин T РД-44";"RD-44 ammo";"Chargeur T de RD-44";"Cargador T de RD-44";"RD-44 Tの\tマガジン";"RD-44 T 탄창";"RD-44 弹\t盘\t（曳\t光\t弹）";"SE-55 弹\t盒\t（曳\t光\t弹）";"Magazynek DP-44 T"
"items/roks_3";"ROKS-3";"РОКС-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";"SPLT-4 火\t焰\t喷\t射\t器";"ROKS-3"
"items/m2_flamethrower";"M2 flamethrower";"Огнемёт М2";"M2 flamethrower";"Lance-flammes M2";"Lanzallamas M2";"M2火炎放射器";"M2 화염방사기";"M2 火\t焰\t喷\t射\t器";"N3\t火\t焰\t喷\t射\t器";"Miotacz płomieni M2"
"items/flammenwerfer_35";"Flammenwerfer 35";"Flammenwerfer 35";"Flammenwerfer 35";"Flammenwerfer 35";"Flammenwerfer 35";"火炎放射器 35";"플라멘베르퍼 35";"35 型\t火\t焰\t喷\t射\t器";"46 型\t火\t焰\t喷\t射\t器";"Flammenwerfer 35"
"items/flamethrower_fuel_tank";"Flamethrower fuel";"Топливо для огнемёта";"Flammenwerfer-Flammöl";"Carburant pour lance-flammes";"Combustible de lanzallamas";"火炎放射器の\t燃料";"화염방사기 연료";"火\t焰\t喷\t射\t器\t燃\t料\t罐";"火\t焰\t喷\t射\t器\t燃\t料\t罐";"Paliwo do Miotacza płomieni"
"items/mortar_rm_40";"RM-40";"РМ-40";"RM-40";"RM-40";"RM-40";"RM-40";"RM-40";"RM-40 轻\t型\t迫\t击\t炮";"SN51 轻\t型\t迫\t击\t炮";"RM-40"
"items/granatwerfer_36";"Granatwerfer 36";"Granatwerfer 36";"Granatwerfer 36";"Granatwerfer 36";"Granatwerfer 36";"擲弾投射器\t36";"그라나트베르퍼 36";"G.36 型\t迫\t击\t炮";"47 型\t迫\t击\t炮";"Granatwerfer 36"
"items/mine_o822_mp";"0-822A mine";"Мина 0-822А";"Mine 0-822A";"Mine 0-822A";"Mina 0-822A";"0-822A\t地雷";"0-822A 지뢰";"0-822A 迫\t击\t炮\t炮\t弹";"0-822A 迫\t击\t炮\t炮\t弹";"Pocisk 0-822A"
"items/wrg_36";"5cm Wgr. 36";"5cm Wgr. 36";"5-cm-Wgr. 36";"Wgr. 36 5 cm";"Wgr. 36 de 5cm";"5cm Wgr. 36";"5cm Wgr. 36";"50 毫\t米 Gr.W.36 轻\t型\t迫\t击\t炮 ";"50 毫\t米 Gr.W.46 轻\t型\t迫\t击\t炮 ";"5cm Wgr. 36"
"items/m2_mortar";"M2 mortar";"Миномет M2";"M2 mortar";"Mortier M2";"Mortero M2";"M2 迫撃砲";"M2 박격포";"M2 迫\t击\t炮";"M2 迫\t击\t炮";"Moździerz M2"
"items/m49a2";"M49A2 mine";"Мина M49A2";"Mine M49A2";"Mine M49A2";"Mina M49A2";"M49A2地雷";"M49A2 지뢰";"M49A2 高\t爆\t弹";"M49A2 高\t爆\t弹";"Pocisk M49A2"
"items/two_inch_he_shell";"Two-inch Mortar mine";"Мина 2-дюймового миномёта";"Two-Inch Mörser Minengeschoss";"Mine de Mortier de deux pouces";"Mina de Mortero de dos pulgadas";"Two-inch Mortar mine";"2인치 박격포 고폭탄";"2 英\t寸\t迫\t击\t炮\t炮\t弹";"三\t英\t寸\t迫\t击\t炮\t炮\t弹";"Dwucalowa mina moździerzowa"
"items/mine_o832";"О-832 mine";"Мина О-832";"О-832 Minengeschosse";"Mine O-832";"Mina О-832";"О-832 mine";"O-832 고폭탄";"O-832 迫\t击\t炮\t炮\t弹";"P-943 弹\t药";"Mina O-832"
"items/8cm_wgr_39";"8cm mine";"Мина 8см";"8 cm Minengeschoss";"Mine de 8cm";"Mina de 8cm";"8cm mine";"8cm 고폭탄";"80 毫\t米\t迫\t击\t炮\t炮\t弹";"8\t厘\t米 炮\t弹";"Mina 8cm"
"items/type_89_mortar_he_shell";"Type 10 mine";"Мина Тип 10";"Type 10 Minengeschoss";"Mine Type 10";"Mina Tipo 10";"Type 10 mine";"10식 고폭탄";"十\t年\t式\t手\t榴\t弹";"11\t式 弹\t药";"Mina Typu 10"
"items/leuchtpistole_34";"Leuchtpistole 34";"Leuchtpistole 34";"Leuchtpistole 34";"Leuchtpistole 34";"Leuchtpistole 34";"レヒトピストーレ\t34";"라이히트피스톨레 34";"34 型\t信\t号\t枪";"44 型\t信\t号\t枪";"Leuchtpistole 34"
"items/rd_44";"RD-44";"РД-44";"RD-44";"RD-44";"RD-44";"RD-44";"RD-44";"RD-44";"SE-55 轻\t机\t枪";"RD-44"
"items/rdg1_smoke";"RDG-1 smoke grenade";"Дымовая граната РДГ-1";"RDG-1-Rauchgranate";"Grenade fumigène RDG-1";"Granada de humo RDG-1";"RDG-1\tスモークグレネード";"RDG-1 연막탄";"RDG-1 烟\t雾\t弹";"RDG-1 烟\t雾\t弹";"RDG-1 granat dymny"
"items/mosin_m1907";"Mosin M1907 carbine";"Карабин Мосина обр. 1907";"Mosin-Nagant M1907 Karabiner";"Carabine Mosin M1907";"Carabina Mosin M1907";"Mosin M1907 Carnbine";"모신 M1907 카빈";"莫\t辛\t-\t纳\t甘 M1907";"莫\t2018\t型 卡\t宾\t枪";"Karabin Mosin M1907"
"items/mosin_1928_grenade_launcher";"Mosin rifle with Diakonov grenade thrower";"Винтовка Мосина с гранатомётом Дьяконова";"Mosin-Nagant mit Dakonov-Granatwerfer";"Fusil Mosin avec lance-grenades Diakov";"Rifle Mosin con lanzagranadas Diakonov";"ディアコフグレネードスロワー\t付き\tMosin\tライフル";"디야코노프 총류탄 발사기 장착형 모신 M91/30";"莫\t辛\t-\t纳\t甘\t（“代\t尔\t可\t诺\t夫”\t枪\t榴\t弹\t发\t射\t器）";"莫\t掷\t弹\t版";"Karabin Mosin z miotaczem granatów Diakonow"
"items/sniper_svt_38";"Sniper SVT-38";"Снайперская СВТ-38";"SVT-38 Scharfschützengewehr";"SVT-38 de sniper";"SVT-38 de francotirador";"スナイパー\tSVT-38";"저격용 SVT-38";"SVT-38 狙\t击\t型";"TWU49\t狙\t击\t枪";"Snajperka SVT-38"
"items/sniper_svt_40";"Sniper SVT-40";"Снайперская СВТ-40";"SVT-40 Scharfschützengewehr";"SVT-40 de sniper";"SVT-40 de francotirador";"スナイパー\tSVT-40";"저격용 SVT-40";"SVT-40 狙\t击\t型";"TWU51\t狙\t击\t枪";"Snajperka SVT-40"
